goal_x,goal_y,success,error_m
-0.25,0.0,True,0.18455351071120008
0.0,0.25,True,0.3767183700720667
0.25,0.0,True,0.2141331243044035
0.0,-0.25,True,0.16506300681011293
-0.25,0.0,True,0.06304529335007783
